Location,Row  ,Distanceft,Distancem,Rep,Type,Injury,Height
S,30,75,22.86,2,Non-covered,0,70
S,30,75,22.86,3,Non-covered,0,77
S,35,87.5,26.67,1,Non-covered,0,71
S,35,87.5,26.67,2,Non-covered,0,74
S,35,87.5,26.67,3,Non-covered,0,69
S,40,100,30.48,1,Non-covered,0,69
S,40,100,30.48,2,Non-covered,0,72
S,40,100,30.48,3,Non-covered,0,68
S,45,112.5,34.29,1,Non-covered,0,68
S,45,112.5,34.29,2,Non-covered,0,66
S,45,112.5,34.29,3,Non-covered,0,70
S,50,125,38.1,1,Non-covered,0,68
S,50,125,38.1,2,Non-covered,0,70
S,50,125,38.1,3,Non-covered,0,66
S,55,137.5,41.91,1,Non-covered,0,70
S,55,137.5,41.91,2,Non-covered,0,77
S,55,137.5,41.91,3,Non-covered,0,72
S,60,150,45.72,1,Non-covered,0,68
S,60,150,45.72,2,Non-covered,0,73
S,60,150,45.72,3,Non-covered,0,71
